ticker,isin,name,weight_percentage,sector,country,currency
,CH0011108872,MOBIMO HOLDINGS AG,0.02632430043722014,Immobilien,Schweiz,CHF
,BE0003867844,KBC ANCORA,0.026142625530831777,Finanzdienstleistungen,Belgien,EUR
,GB00BVGBY890,ZEGONA COMMUNICATIONS PLC,0.02613570941296102,Kommunikationsdienstleistungen,Großbritannien,GBP
,DE0005158703,BECHTLE AG,0.0260440823341051,Informationstechnologie,Deutschland,EUR
,DE0005773303,FRAPORT AG FRANKFURT AIRPORT,0.026042197204630423,Industrie,Deutschland,EUR
,SE0000108847,LUNDBERGS AB-B SHS,0.025751593245335665,Finanzdienstleistungen,Schweden,SEK
,DE0006766504,AURUBIS AG,0.025673431877047525,Werkstoffe,Deutschland,EUR
,ES0171996087,GRIFOLS SA,0.02537015883332753,Gesundheitswesen,Spanien,EUR
,DE000TUAG505,TUI AG XETRA,0.025317292416635898,Nicht-Basiskonsumgüter,Deutschland,EUR
,IT0005282865,REPLY SPA,0.025315352283383438,Informationstechnologie,Italien,EUR
,CH1429326825,SIEGFRIED HOLDING AG-REG,0.025310777754909426,Gesundheitswesen,Schweiz,CHF
,FR0010313833,ARKEMA,0.02524637854612124,Werkstoffe,Frankreich,EUR
,SE0000120669,SSAB AB - B SHARES,0.025242222260658753,Werkstoffe,Schweden,SEK
,IL0011284465,PLUS500 LTD,0.025102824543671482,Finanzdienstleistungen,Großbritannien,GBP
,DE000EVNK013,EVONIK INDUSTRIES AG,0.025098973564892397,Werkstoffe,Deutschland,EUR
,GB0002318888,CRANSWICK PLC,0.024514985026752617,Basiskonsumgüter,Großbritannien,GBP
,IE0000669501,GLANBIA PLC,0.024470207808501388,Basiskonsumgüter,Irland,EUR
,BE0003604155,LOTUS BAKERIES,0.024408104971718594,Basiskonsumgüter,Belgien,EUR
,NL0006237562,ARCADIS NV,0.024299654237378423,Industrie,Niederlande,EUR
,FR0013269123,RUBIS,0.024269871763283664,Versorger,Frankreich,EUR
,FR0013451333,FDJ UNITED,0.02423449661935822,Nicht-Basiskonsumgüter,Frankreich,EUR
,CH0225173167,CEMBRA MONEY BANK AG,0.02418829537473042,Finanzdienstleistungen,Schweiz,CHF
,SE0010100958,INVESTMENT AB LATOUR-B SHS,0.02403415935977138,Industrie,Schweden,SEK
,DK0060634707,ROYAL UNIBREW,0.024012453726125395,Basiskonsumgüter,Dänemark,DKK
,CY0200352116,FRONTLINE PLC,0.02387712993180089,Energie,Norwegen,NOK
,SE0018012635,WIHLBORGS FASTIGHETER AB,0.023514855121429017,Immobilien,Schweden,SEK
,SE0006422390,THULE GROUP AB,0.02348088943145071,Nicht-Basiskonsumgüter,Schweden,SEK
,GB00B61TVQ02,INCHCAPE PLC,0.02345275857079225,Nicht-Basiskonsumgüter,Großbritannien,GBP
,SE0007692850,CAMURUS AB,0.0233666680150536,Gesundheitswesen,Schweden,SEK
,SE0011090018,HOLMEN AB- B SHARES,0.02328443529570788,Werkstoffe,Schweden,SEK
,GB0033986497,ITV PLC,0.023174351377768635,Kommunikationsdienstleistungen,Großbritannien,GBP
,FR0013258662,AYVENS SA,0.023131328780028455,Industrie,Frankreich,EUR
,GB0007973794,SERCO GROUP  ORD 2P,0.023030445851175467,Industrie,Großbritannien,GBP
,NO0011202772,VAR ENERGI ASA,0.02300284531265494,Energie,Norwegen,NOK
,FI0009000459,HUHTAMAKI OYJ,0.02292337442585487,Werkstoffe,Finnland,EUR
,FR0013506730,VALLOUREC SA,0.022797704365997845,Energie,Frankreich,EUR
,GB0003096442,RS GROUP PLC,0.022719634289694115,Industrie,Großbritannien,GBP
,FR0000039299,BOLLORE SE,0.02271338407470184,Kommunikationsdienstleistungen,Frankreich,EUR
,CH0435377954,SIG GROUP AG,0.022668366839965776,Werkstoffe,Schweiz,CHF
,GB00BNNTLN49,PENNON GROUP PLC,0.022640245551393323,Versorger,Großbritannien,GBP
,SE0014960373,SWECO AB-B SHS,0.022550212081989873,Industrie,Schweden,SEK
,LU2290522684,INPOST SA,0.022425735389810155,Industrie,Niederlande,EUR
,DE000FTG1111,FLATEXDEGIRO AG,0.022334370828984533,Finanzdienstleistungen,Deutschland,EUR
,ES0180907000,UNICAJA BANCO S.A.,0.022319355440553027,Finanzdienstleistungen,Spanien,EUR
,JE00BMDZN391,TP ICAP GROUP PLC,0.02185596004214808,Finanzdienstleistungen,Großbritannien,GBP
,IT0005495657,SAIPEM SPA,0.02181668005860142,Energie,Italien,EUR
,GB00BNTJ3546,ALLFUNDS GROUP PLC,0.021778623516226146,Finanzdienstleistungen,Niederlande,EUR
,DK0063855168,ROCKWOOL A/S-B SHS,0.021777965399596734,Industrie,Dänemark,DKK
,CH0528751586,VZ HOLDING AG,0.021557624837569324,Finanzdienstleistungen,Schweiz,CHF
,CH0531751755,BANQUE CANTONALE VAUDOIS-REG,0.02144881207836452,Finanzdienstleistungen,Schweiz,CHF
,AT0000831706,WIENERBERGER AG,0.021448144532516058,Werkstoffe,Österreich,EUR
,FI4000552526,MANDATUM OYJ,0.021315932309043682,Finanzdienstleistungen,Finnland,EUR
,FI0009004824,KEMIRA OYJ,0.021189753571392453,Werkstoffe,Finnland,EUR
,GB0031215220,CARNIVAL PLC,0.02105173444908998,Nicht-Basiskonsumgüter,Großbritannien,GBP
