ticker,name,weight_percentage,raw_ticker
ANET,ARISTA NETWORKS INC,0.22,ANET
MDT,MEDTRONIC PLC,0.22,MDT
ETN,EATON PLC,0.22,ETN
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,0.22,CRWD
PANW,PALO ALTO NETWORKS INC,0.22,PANW
SYK,STRYKER CORP,0.22,SYK
USD,USD CASH,0.21,USD
HON,HONEYWELL INTERNATIONAL INC,0.21,HON
PLD,PROLOGIS REIT INC,0.2,PLD
DE,DEERE,0.2,DE
CEG,CONSTELLATION ENERGY CORP,0.19,CEG
COP,CONOCOPHILLIPS,0.19,COP
VRTX,VERTEX PHARMACEUTICALS INC,0.19,VRTX
PH,PARKER-HANNIFIN CORP,0.19,PH
CB,CHUBB LTD,0.19,CB
BX,BLACKSTONE INC,0.19,BX
ADP,AUTOMATIC DATA PROCESSING INC,0.18,ADP
MCK,MCKESSON CORP,0.18,MCK
TMUS,T MOBILE US INC,0.17,TMUS
CME,CME GROUP INC CLASS A,0.17,CME
CMCSA,COMCAST CORP CLASS A,0.17,CMCSA
NEM,NEWMONT,0.17,NEM
CVS,CVS HEALTH CORP,0.17,CVS
MO,ALTRIA GROUP INC,0.17,MO
BMY,BRISTOL MYERS SQUIBB,0.17,BMY
SO,SOUTHERN,0.17,SO
HOOD,ROBINHOOD MARKETS INC CLASS A,0.17,HOOD
SBUX,STARBUCKS CORP,0.17,SBUX
DUK,DUKE ENERGY CORP,0.16,DUK
TT,TRANE TECHNOLOGIES PLC,0.16,TT
MMM,3M,0.16,MMM
LMT,LOCKHEED MARTIN CORP,0.16,LMT
MMC,MARSH & MCLENNAN INC,0.15,MMC
ICE,INTERCONTINENTAL EXCHANGE INC,0.15,ICE
CDNS,CADENCE DESIGN SYSTEMS INC,0.15,CDNS
GD,GENERAL DYNAMICS CORP,0.15,GD
ORLY,OREILLY AUTOMOTIVE INC,0.15,ORLY
KKR,KKR AND CO INC,0.14,KKR
SNPS,SYNOPSYS INC,0.14,SNPS
AMT,AMERICAN TOWER REIT CORP,0.14,AMT
HCA,HCA HEALTHCARE INC,0.14,HCA
DASH,DOORDASH INC CLASS A,0.14,DASH
WM,WASTE MANAGEMENT INC,0.14,WM
HWM,HOWMET AEROSPACE INC,0.14,HWM
BK,BANK OF NEW YORK MELLON CORP,0.14,BK
SHW,SHERWIN WILLIAMS,0.13,SHW
USB,US BANCORP,0.13,USB
NKE,NIKE INC CLASS B,0.13,NKE
TDG,TRANSDIGM GROUP INC,0.13,TDG
PNC,PNC FINANCIAL SERVICES GROUP INC,0.13,PNC
REGN,REGENERON PHARMACEUTICALS INC,0.13,REGN
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,0.13,JCI
MCO,MOODYS CORP,0.13,MCO
AON,AON PLC CLASS A,0.13,AON
ELV,ELEVANCE HEALTH INC,0.13,ELV
EMR,EMERSON ELECTRIC,0.13,EMR
WMB,WILLIAMS INC,0.13,WMB
NOC,NORTHROP GRUMMAN CORP,0.13,NOC
CI,CIGNA,0.13,CI
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,0.12,MDLZ
EQIX,EQUINIX REIT INC,0.12,EQIX
UPS,UNITED PARCEL SERVICE INC CLASS B,0.12,UPS
GM,GENERAL MOTORS,0.12,GM
ECL,ECOLAB INC,0.12,ECL
CMI,CUMMINS INC,0.12,CMI
MAR,MARRIOTT INTERNATIONAL INC CLASS A,0.12,MAR
COR,CENCORA INC,0.12,COR
TEL,TE CONNECTIVITY PLC,0.12,TEL
PWR,QUANTA SERVICES INC,0.12,PWR
RCL,ROYAL CARIBBEAN GROUP LTD,0.11,RCL
ADSK,AUTODESK INC,0.11,ADSK
HLT,HILTON WORLDWIDE HOLDINGS INC,0.11,HLT
ITW,ILLINOIS TOOL INC,0.11,ITW
NSC,NORFOLK SOUTHERN CORP,0.11,NSC
GLW,CORNING INC,0.11,GLW
CSX,CSX CORP,0.11,CSX
TRV,TRAVELERS COMPANIES INC,0.11,TRV
AZO,AUTOZONE INC,0.11,AZO
AEP,AMERICAN ELECTRIC POWER INC,0.11,AEP
CL,COLGATE-PALMOLIVE,0.11,CL
CTAS,CINTAS CORP,0.11,CTAS
MSI,MOTOROLA SOLUTIONS INC,0.11,MSI
AJG,ARTHUR J GALLAGHER,0.11,AJG
FCX,FREEPORT MCMORAN INC,0.11,FCX
APO,APOLLO GLOBAL MANAGEMENT INC,0.1,APO
WBD,WARNER BROS. DISCOVERY INC SERIES,0.1,WBD
PYPL,PAYPAL HOLDINGS INC,0.1,PYPL
TFC,TRUIST FINANCIAL CORP,0.1,TFC
EOG,EOG RESOURCES INC,0.1,EOG
COIN,COINBASE GLOBAL INC CLASS A,0.1,COIN
SPG,SIMON PROPERTY GROUP REIT INC,0.1,SPG
SRE,SEMPRA,0.1,SRE
FDX,FEDEX CORP,0.1,FDX
IDXX,IDEXX LABORATORIES INC,0.1,IDXX
MPC,MARATHON PETROLEUM CORP,0.1,MPC
ROST,ROSS STORES INC,0.1,ROST
APD,AIR PRODUCTS AND CHEMICALS INC,0.1,APD
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,0.1,STX
WDC,WESTERN DIGITAL CORP,0.1,WDC
PCAR,PACCAR INC,0.1,PCAR
PSX,PHILLIPS,0.1,PSX
VLO,VALERO ENERGY CORP,0.09,VLO
ZTS,ZOETIS INC CLASS A,0.09,ZTS
ALL,ALLSTATE CORP,0.09,ALL
VST,VISTRA CORP,0.09,VST
BDX,BECTON DICKINSON,0.09,BDX
NXPI,NXP SEMICONDUCTORS NV,0.09,NXPI
SLB,SLB NV,0.09,SLB
FTNT,FORTINET INC,0.09,FTNT
MNST,MONSTER BEVERAGE CORP,0.09,MNST
AFL,AFLAC INC,0.09,AFL
O,REALTY INCOME REIT CORP,0.09,O
KMI,KINDER MORGAN INC,0.09,KMI
D,DOMINION ENERGY INC,0.09,D
URI,UNITED RENTALS INC,0.09,URI
LHX,L3HARRIS TECHNOLOGIES INC,0.09,LHX
ABNB,AIRBNB INC CLASS A,0.09,ABNB
F,FORD MOTOR CO,0.09,F
DDOG,DATADOG INC CLASS A,0.09,DDOG
EW,EDWARDS LIFESCIENCES CORP,0.09,EW
DLR,DIGITAL REALTY TRUST REIT INC,0.09,DLR
CAH,CARDINAL HEALTH INC,0.08,CAH
BKR,BAKER HUGHES CLASS A,0.08,BKR
ROP,ROPER TECHNOLOGIES INC,0.08,ROP
XEL,XCEL ENERGY INC,0.08,XEL
CBRE,CBRE GROUP INC CLASS A,0.08,CBRE
FAST,FASTENAL,0.08,FAST
WDAY,WORKDAY INC CLASS A,0.08,WDAY
OKE,ONEOK INC,0.08,OKE
EA,ELECTRONIC ARTS INC,0.08,EA
CMG,CHIPOTLE MEXICAN GRILL INC,0.08,CMG
AME,AMETEK INC,0.08,AME
MPWR,MONOLITHIC POWER SYSTEMS INC,0.08,MPWR
EXC,EXELON CORP,0.08,EXC
CTVA,CORTEVA INC,0.08,CTVA
ROK,ROCKWELL AUTOMATION INC,0.08,ROK
DHI,D R HORTON INC,0.08,DHI
AMP,AMERIPRISE FINANCE INC,0.07,AMP
RSG,REPUBLIC SERVICES INC,0.07,RSG
CARR,CARRIER GLOBAL CORP,0.07,CARR
PSA,PUBLIC STORAGE REIT,0.07,PSA
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0.07,TTWO
FICO,FAIR ISAAC CORP,0.07,FICO
AIG,AMERICAN INTERNATIONAL GROUP INC,0.07,AIG
MET,METLIFE INC,0.07,MET
MSCI,MSCI INC,0.07,MSCI
GWW,WW GRAINGER INC,0.07,GWW
A,AGILENT TECHNOLOGIES INC,0.07,A
DAL,DELTA AIR LINES INC,0.07,DAL
AXON,AXON ENTERPRISE INC,0.07,AXON
ETR,ENTERGY CORP,0.07,ETR
DELL,DELL TECHNOLOGIES INC CLASS C,0.07,DELL
TGT,TARGET CORP,0.07,TGT
YUM,YUM BRANDS INC,0.07,YUM
KR,KROGER,0.07,KR
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,0.07,PEG
NDAQ,NASDAQ INC,0.07,NDAQ
CCI,CROWN CASTLE INC,0.07,CCI
IQV,IQVIA HOLDINGS INC,0.07,IQV
VMC,VULCAN MATERIALS,0.07,VMC
KDP,KEURIG DR PEPPER INC,0.07,KDP
HIG,HARTFORD INSURANCE GROUP INC,0.07,HIG
PRU,PRUDENTIAL FINANCIAL INC,0.07,PRU
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,0.06,CTSH
EBAY,EBAY INC,0.06,EBAY
NUE,NUCOR CORP,0.06,NUE
TRGP,TARGA RESOURCES CORP,0.06,TRGP
MLM,MARTIN MARIETTA MATERIALS INC,0.06,MLM
GEHC,GE HEALTHCARE TECHNOLOGIES INC,0.06,GEHC
RMD,RESMED INC,0.06,RMD
