ticker,isin,name,weight_percentage,sector,country,currency
,BMG0450A1053,ARCH CAPITAL GROUP LTD,0.38907422700163286,Finanzdienstleistungen,USA,USD
,US29355A1079,ENPHASE ENERGY INC,0.3807628972854809,Informationstechnologie,USA,USD
,US58933Y1055,MERCK & CO. INC.,0.3793369738928885,Gesundheitswesen,USA,USD
,US36828A1016,GE VERNOVA INC,0.37220383714623295,Industrie,USA,USD
,US4470111075,HUNTSMAN CORP,0.3619003478284195,Werkstoffe,USA,USD
,US26614N1028,DUPONT DE NEMOURS INC,0.35625698084594254,Werkstoffe,USA,USD
,US25862V1052,DOUBLEVERIFY HOLDINGS INC,0.35034776428135184,Kommunikationsdienstleistungen,USA,USD
,US7416231022,PRIMO BRANDS CORP,0.3479792282941816,Basiskonsumgüter,USA,USD
,US7475251036,QUALCOMM INC,0.3334002749097089,Informationstechnologie,USA,USD
,US2358511028,DANAHER CORP,0.3037671766923782,Gesundheitswesen,USA,USD
,US2855121099,ELECTRONIC ARTS INC,0.3032158942350382,Kommunikationsdienstleistungen,USA,USD
,US1491231015,CATERPILLAR INC,0.29411671249685034,Industrie,USA,USD
,FR0000121329,THALES SA,0.28613459379826484,Industrie,Frankreich,EUR
,US90353T1007,UBER TECHNOLOGIES INC,0.2847626695095936,Industrie,USA,USD
,US98138H1014,WORKDAY INC,0.2838533662987396,Informationstechnologie,USA,USD
,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,0.2834054858139116,Informationstechnologie,USA,USD
,US40412C1018,HCA HEALTHCARE INC,0.2781848685669425,Gesundheitswesen,USA,USD
,FR0013215407,ENGIE PRIME DE FIDELITE,0.27464611374551356,Versorger,Frankreich,EUR
,US2372661015,DARLING INGREDIENTS INC,0.2710729997335664,Basiskonsumgüter,USA,USD
,US46266C1053,IQVIA HOLDINGS INC,0.26371422513496934,Gesundheitswesen,USA,USD
,US2244081046,CRANE CO,0.2633421165871072,Industrie,USA,USD
,US88339J1051,TRADE DESK INC/THE -CLASS A,0.26017348260829026,Kommunikationsdienstleistungen,USA,USD
,NL0015001FS8,FERROVIAL SE AMSTERDAM,0.2587897526560306,Industrie,USA,EUR
,US7766961061,ROPER TECHNOLOGIES INC,0.2561579429768948,Informationstechnologie,USA,USD
,US5312297485,LIBERTY MEDIA CORP-LIBERTY-A,0.2533747899262671,Kommunikationsdienstleistungen,USA,USD
,US7509401086,RALLIANT CORP,0.24322722622673368,Informationstechnologie,USA,USD
,FR001400AJ45,MICHELIN (CGDE),0.23438511392893627,Nicht-Basiskonsumgüter,Frankreich,EUR
,US29364G1031,ENTERGY CORP,0.23300903038035162,Versorger,USA,USD
,FR0013176526,VALEO,0.22803366092327915,Nicht-Basiskonsumgüter,Frankreich,EUR
,US1255231003,THE CIGNA GROUP,0.22488028711188007,Gesundheitswesen,USA,USD
,US4612021034,INTUIT INC,0.20791683081837195,Informationstechnologie,USA,USD
,IE00BTN1Y115,MEDTRONIC PLC,0.20453079823903406,Gesundheitswesen,USA,USD
,US8740541094,TAKE-TWO INTERACTIVE SOFTWARE,0.20222068573188112,Kommunikationsdienstleistungen,USA,USD
,US31620M1062,FIDELITY NATIONAL INFORMATION,0.200532286660356,Finanzdienstleistungen,USA,USD
,US3364331070,FIRST SOLAR INC,0.20017416399031943,Informationstechnologie,USA,USD
,US2567461080,DOLLAR TREE INC,0.19823617601793425,Basiskonsumgüter,USA,USD
,US20030N1019,COMCAST CORP-CLASS A,0.1975410893472862,Kommunikationsdienstleistungen,USA,USD
,US6247561029,MUELLER INDUSTRIES INC,0.1965921839070321,Industrie,USA,USD
,US2786421030,EBAY INC,0.1918675643998314,Nicht-Basiskonsumgüter,USA,USD
,US0530151036,AUTOMATIC DATA PROCESSING,0.18140233422686347,Industrie,USA,USD
,US3119001044,FASTENAL CO,0.16848615823337282,Industrie,USA,USD
,US98419M1009,XYLEM INC,0.16452681790376758,Industrie,USA,USD
,US3666511072,GARTNER INC,0.15847527325014318,Informationstechnologie,USA,USD
,US74144T1088,T ROWE PRICE GROUP INC,0.15363815588732388,Finanzdienstleistungen,USA,USD
,US9291601097,VULCAN MATERIALS CO,0.15160829316741103,Werkstoffe,USA,USD
,US4432011082,HOWMET AEROSPACE INC,0.15048191642311445,Industrie,USA,USD
,FR0000133308,ORANGE,0.14191466232867825,Kommunikationsdienstleistungen,Frankreich,EUR
,FR0010411983,SCOR SE,0.13993848363742406,Finanzdienstleistungen,Frankreich,EUR
,US8894781033,TOLL BROTHERS INC,0.13530411221011673,Nicht-Basiskonsumgüter,USA,USD
,US2561631068,DOCUSIGN INC,0.13467938457668177,Informationstechnologie,USA,USD
,US45167R1041,IDEX CORP,0.13384661867589426,Industrie,USA,USD
,US61945C1036,MOSAIC CO/THE,0.13373893487719338,Werkstoffe,USA,USD
,US00724F1012,ADOBE INC,0.13299977697093782,Informationstechnologie,USA,USD
,US3020811044,EXLSERVICE HOLDINGS INC,0.13295613005444698,Industrie,USA,USD
,US1941621039,COLGATE-PALMOLIVE CO,0.13204458401397595,Basiskonsumgüter,USA,USD
,US4448591028,HUMANA INC,0.13159620127386693,Gesundheitswesen,USA,USD
,US68902V1070,OTIS WORLDWIDE CORP,0.12898342200736204,Industrie,USA,USD
,US0090661010,AIRBNB INC-CLASS A,0.12471859989079523,Nicht-Basiskonsumgüter,USA,USD
,US3795772082,GLOBUS MEDICAL INC - A,0.12374898607895406,Gesundheitswesen,USA,USD
,FR0011532431,SODEXO-ACT PROV PRIME DE FIDELITE,0.11902798960421168,Nicht-Basiskonsumgüter,Frankreich,EUR
,US72352L1061,PINTEREST INC- CLASS A,0.11756341786758044,Kommunikationsdienstleistungen,USA,USD
,US46269C1027,IRIDIUM COMMUNICATIONS INC,0.11733790124967235,Kommunikationsdienstleistungen,USA,USD
,US74251V1026,PRINCIPAL FINANCIAL GROUP,0.11237574297162992,Finanzdienstleistungen,USA,USD
,US9884981013,YUM! BRANDS INC,0.10332612263884568,Nicht-Basiskonsumgüter,USA,USD
,FR0000130577,PUBLICIS GROUPE SA,0.0909190343301201,Kommunikationsdienstleistungen,Frankreich,EUR
,US28176E1082,EDWARDS LIFESCIENCES CORP,0.08898349035591271,Gesundheitswesen,USA,USD
,US23918K1088,DAVITA INC,0.08716242528136348,Gesundheitswesen,USA,USD
,US1598641074,CHARLES RIV LAB INT,0.08709219480551547,Gesundheitswesen,USA,USD
,US77311W1018,ROCKET COS INC-CLASS A,0.08615672369484725,Finanzdienstleistungen,USA,USD
,US1033041013,BOYD GAMING CORP,0.0829697214277354,Nicht-Basiskonsumgüter,USA,USD
,US60770K1079,MODERNA INC,0.08229926524948968,Gesundheitswesen,USA,USD
,US3205171057,FIRST HORIZON NATIONAL CORP,0.08112495310130273,Finanzdienstleistungen,USA,USD
,US45168D1046,IDEXX LABORATORIES INC,0.07824859505938583,Gesundheitswesen,USA,USD
,US26142V1052,DRAFTKINGS INC-CL A,0.07668497378526418,Nicht-Basiskonsumgüter,USA,USD
,US89417E1091,TRAVELERS COMPANIES INC,0.07229309773562374,Finanzdienstleistungen,USA,USD
,US64110D1046,NETAPP INC,0.0712546856082187,Informationstechnologie,USA,USD
,US3156161024,F5 INC,0.0694578127184127,Informationstechnologie,USA,USD
,US6795801009,OLD DOMINION FREIGHT LINE,0.06443864313700504,Industrie,USA,USD
,US00206R1023,AT&T INC,0.06239503434284908,Kommunikationsdienstleistungen,USA,USD
,US29786A1060,ETSY INC,0.06150485213709044,Nicht-Basiskonsumgüter,USA,USD
,US3029411093,FTI CONSULTING INC,0.06029651918788499,Industrie,USA,USD
,US2166485019,COOPER COS INC/THE,0.05891113259254323,Gesundheitswesen,USA,USD
,US5339001068,LINCOLN ELECTRIC HOLDINGS,0.056164935272334834,Industrie,USA,USD
,GB0022569080,AMDOCS LTD,0.0556315461589723,Informationstechnologie,USA,USD
