ticker,name,weight_percentage,raw_ticker
WM,WASTE MANAGEMENT INC,0.14,WM
BK,BANK OF NEW YORK MELLON CORP,0.14,BK
HWM,HOWMET AEROSPACE INC,0.13,HWM
DASH,DOORDASH INC CLASS A,0.13,DASH
REGN,REGENERON PHARMACEUTICALS INC,0.13,REGN
SHW,SHERWIN WILLIAMS,0.13,SHW
USB,US BANCORP,0.13,USB
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,0.13,JCI
EMR,EMERSON ELECTRIC,0.13,EMR
PNC,PNC FINANCIAL SERVICES GROUP INC,0.13,PNC
NKE,NIKE INC CLASS B,0.13,NKE
MCO,MOODYS CORP,0.13,MCO
CI,CIGNA,0.13,CI
TDG,TRANSDIGM GROUP INC,0.13,TDG
AON,AON PLC CLASS A,0.13,AON
NOC,NORTHROP GRUMMAN CORP,0.13,NOC
ELV,ELEVANCE HEALTH INC,0.12,ELV
WMB,WILLIAMS INC,0.12,WMB
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,0.12,MDLZ
GM,GENERAL MOTORS,0.12,GM
ECL,ECOLAB INC,0.12,ECL
EQIX,EQUINIX REIT INC,0.12,EQIX
MAR,MARRIOTT INTERNATIONAL INC CLASS A,0.12,MAR
UPS,UNITED PARCEL SERVICE INC CLASS B,0.12,UPS
TEL,TE CONNECTIVITY PLC,0.12,TEL
COR,CENCORA INC,0.12,COR
PWR,QUANTA SERVICES INC,0.12,PWR
RCL,ROYAL CARIBBEAN GROUP LTD,0.12,RCL
HLT,HILTON WORLDWIDE HOLDINGS INC,0.11,HLT
CMI,CUMMINS INC,0.11,CMI
ADSK,AUTODESK INC,0.11,ADSK
ITW,ILLINOIS TOOL INC,0.11,ITW
NSC,NORFOLK SOUTHERN CORP,0.11,NSC
TRV,TRAVELERS COMPANIES INC,0.11,TRV
GLW,CORNING INC,0.11,GLW
AZO,AUTOZONE INC,0.11,AZO
CL,COLGATE-PALMOLIVE,0.11,CL
CSX,CSX CORP,0.11,CSX
AEP,AMERICAN ELECTRIC POWER INC,0.11,AEP
CTAS,CINTAS CORP,0.11,CTAS
MSI,MOTOROLA SOLUTIONS INC,0.11,MSI
APO,APOLLO GLOBAL MANAGEMENT INC,0.11,APO
FCX,FREEPORT MCMORAN INC,0.11,FCX
WBD,WARNER BROS. DISCOVERY INC SERIES,0.1,WBD
EOG,EOG RESOURCES INC,0.1,EOG
TFC,TRUIST FINANCIAL CORP,0.1,TFC
AJG,ARTHUR J GALLAGHER,0.1,AJG
FDX,FEDEX CORP,0.1,FDX
COIN,COINBASE GLOBAL INC CLASS A,0.1,COIN
SPG,SIMON PROPERTY GROUP REIT INC,0.1,SPG
SRE,SEMPRA,0.1,SRE
PYPL,PAYPAL HOLDINGS INC,0.1,PYPL
MPC,MARATHON PETROLEUM CORP,0.1,MPC
IDXX,IDEXX LABORATORIES INC,0.1,IDXX
ROST,ROSS STORES INC,0.1,ROST
APD,AIR PRODUCTS AND CHEMICALS INC,0.1,APD
VST,VISTRA CORP,0.09,VST
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,0.09,STX
ZTS,ZOETIS INC CLASS A,0.09,ZTS
ALL,ALLSTATE CORP,0.09,ALL
MNST,MONSTER BEVERAGE CORP,0.09,MNST
BDX,BECTON DICKINSON,0.09,BDX
WDC,WESTERN DIGITAL CORP,0.09,WDC
NXPI,NXP SEMICONDUCTORS NV,0.09,NXPI
PSX,PHILLIPS,0.09,PSX
O,REALTY INCOME REIT CORP,0.09,O
VLO,VALERO ENERGY CORP,0.09,VLO
PCAR,PACCAR INC,0.09,PCAR
AFL,AFLAC INC,0.09,AFL
FTNT,FORTINET INC,0.09,FTNT
LHX,L3HARRIS TECHNOLOGIES INC,0.09,LHX
SLB,SLB NV,0.09,SLB
KMI,KINDER MORGAN INC,0.09,KMI
D,DOMINION ENERGY INC,0.09,D
ABNB,AIRBNB INC CLASS A,0.09,ABNB
DDOG,DATADOG INC CLASS A,0.09,DDOG
DLR,DIGITAL REALTY TRUST REIT INC,0.09,DLR
URI,UNITED RENTALS INC,0.09,URI
F,FORD MOTOR CO,0.09,F
EW,EDWARDS LIFESCIENCES CORP,0.08,EW
BKR,BAKER HUGHES CLASS A,0.08,BKR
CAH,CARDINAL HEALTH INC,0.08,CAH
ROP,ROPER TECHNOLOGIES INC,0.08,ROP
CBRE,CBRE GROUP INC CLASS A,0.08,CBRE
FAST,FASTENAL,0.08,FAST
CMG,CHIPOTLE MEXICAN GRILL INC,0.08,CMG
WDAY,WORKDAY INC CLASS A,0.08,WDAY
OKE,ONEOK INC,0.08,OKE
XEL,XCEL ENERGY INC,0.08,XEL
DHI,D R HORTON INC,0.08,DHI
EXC,EXELON CORP,0.08,EXC
AME,AMETEK INC,0.08,AME
EA,ELECTRONIC ARTS INC,0.08,EA
CTVA,CORTEVA INC,0.08,CTVA
MPWR,MONOLITHIC POWER SYSTEMS INC,0.08,MPWR
RSG,REPUBLIC SERVICES INC,0.08,RSG
A,AGILENT TECHNOLOGIES INC,0.07,A
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,0.07,TTWO
FICO,FAIR ISAAC CORP,0.07,FICO
CARR,CARRIER GLOBAL CORP,0.07,CARR
PSA,PUBLIC STORAGE REIT,0.07,PSA
MET,METLIFE INC,0.07,MET
AIG,AMERICAN INTERNATIONAL GROUP INC,0.07,AIG
TGT,TARGET CORP,0.07,TGT
GWW,WW GRAINGER INC,0.07,GWW
ROK,ROCKWELL AUTOMATION INC,0.07,ROK
MSCI,MSCI INC,0.07,MSCI
AMP,AMERIPRISE FINANCE INC,0.07,AMP
DAL,DELTA AIR LINES INC,0.07,DAL
YUM,YUM BRANDS INC,0.07,YUM
KR,KROGER,0.07,KR
AXON,AXON ENTERPRISE INC,0.07,AXON
NDAQ,NASDAQ INC,0.07,NDAQ
ETR,ENTERGY CORP,0.07,ETR
DELL,DELL TECHNOLOGIES INC CLASS C,0.07,DELL
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,0.07,PEG
HIG,HARTFORD INSURANCE GROUP INC,0.07,HIG
CCI,CROWN CASTLE INC,0.07,CCI
KDP,KEURIG DR PEPPER INC,0.07,KDP
TRGP,TARGA RESOURCES CORP,0.07,TRGP
VMC,VULCAN MATERIALS,0.06,VMC
PRU,PRUDENTIAL FINANCIAL INC,0.06,PRU
EBAY,EBAY INC,0.06,EBAY
RMD,RESMED INC,0.06,RMD
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,0.06,CTSH
IQV,IQVIA HOLDINGS INC,0.06,IQV
GEHC,GE HEALTHCARE TECHNOLOGIES INC,0.06,GEHC
NUE,NUCOR CORP,0.06,NUE
EQT,EQT CORP,0.06,EQT
FIS,FIDELITY NATIONAL INFORMATION SERV,0.06,FIS
SYY,SYSCO CORP,0.06,SYY
PAYX,PAYCHEX INC,0.06,PAYX
BZFUT,CASH COLLATERAL USD BZFUT,0.06,BZFUT
KMB,KIMBERLY CLARK CORP,0.06,KMB
MLM,MARTIN MARIETTA MATERIALS INC,0.06,MLM
WEC,WEC ENERGY GROUP INC,0.06,WEC
KEYS,KEYSIGHT TECHNOLOGIES INC,0.06,KEYS
ACGL,ARCH CAPITAL GROUP LTD,0.06,ACGL
OTIS,OTIS WORLDWIDE CORP,0.06,OTIS
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,0.06,WAB
CPRT,COPART INC,0.06,CPRT
VTR,VENTAS REIT INC,0.06,VTR
PCG,PG&E CORP,0.06,PCG
XYZ,BLOCK INC CLASS A,0.06,XYZ
UAL,UNITED AIRLINES HOLDINGS INC,0.06,UAL
FISV,FISERV INC,0.06,FISV
ED,CONSOLIDATED EDISON INC,0.06,ED
STT,STATE STREET CORP,0.06,STT
XYL,XYLEM INC,0.06,XYL
KVUE,KENVUE INC,0.06,KVUE
VRSK,VERISK ANALYTICS INC,0.05,VRSK
GRMN,GARMIN LTD,0.05,GRMN
MTB,M&T BANK CORP,0.05,MTB
NRG,NRG ENERGY INC,0.05,NRG
WTW,WILLIS TOWERS WATSON PLC,0.05,WTW
EXPE,EXPEDIA GROUP INC,0.05,EXPE
MCHP,MICROCHIP TECHNOLOGY INC,0.05,MCHP
VICI,VICI PPTYS INC,0.05,VICI
LEN,LENNAR A CORP CLASS A,0.05,LEN
CSGP,COSTAR GROUP INC,0.05,CSGP
FANG,DIAMONDBACK ENERGY INC,0.05,FANG
MTD,METTLER TOLEDO INC,0.05,MTD
OXY,OCCIDENTAL PETROLEUM CORP,0.05,OXY
EXE,EXPAND ENERGY CORP,0.05,EXE
TSCO,TRACTOR SUPPLY,0.05,TSCO
HUM,HUMANA INC,0.05,HUM
ADM,ARCHER DANIELS MIDLAND,0.05,ADM
RJF,RAYMOND JAMES INC,0.05,RJF
FITB,FIFTH THIRD BANCORP,0.05,FITB
TER,TERADYNE INC,0.05,TER
SYF,SYNCHRONY FINANCIAL,0.05,SYF
IR,INGERSOLL RAND INC,0.05,IR
AEE,AMEREN CORP,0.05,AEE
SNDK,SANDISK CORP,0.05,SNDK
EXR,EXTRA SPACE STORAGE REIT INC,0.05,EXR
BIIB,BIOGEN INC,0.05,BIIB
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,0.05,BR
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,0.05,IBKR
EME,EMCOR GROUP INC,0.05,EME
CBOE,CBOE GLOBAL MARKETS INC,0.05,CBOE
EFX,EQUIFAX INC,0.05,EFX
HPE,HEWLETT PACKARD ENTERPRISE,0.05,HPE
FSLR,FIRST SOLAR INC,0.05,FSLR
CINF,CINCINNATI FINANCIAL CORP,0.05,CINF
DTE,DTE ENERGY,0.05,DTE
CCL,CARNIVAL CORP,0.05,CCL
ATO,ATMOS ENERGY CORP,0.05,ATO
PPL,PPL CORP,0.05,PPL
HSY,HERSHEY FOODS,0.05,HSY
ULTA,ULTA BEAUTY INC,0.04,ULTA
DOV,DOVER CORP,0.04,DOV
ODFL,OLD DOMINION FREIGHT LINE INC,0.04,ODFL
DXCM,DEXCOM INC,0.04,DXCM
HBAN,HUNTINGTON BANCSHARES INC,0.04,HBAN
EL,ESTEE LAUDER INC CLASS A,0.04,EL
AVB,AVALONBAY COMMUNITIES REIT INC,0.04,AVB
GIS,GENERAL MILLS INC,0.04,GIS
PHM,PULTEGROUP INC,0.04,PHM
STE,STERIS,0.04,STE
LDOS,LEIDOS HOLDINGS INC,0.04,LDOS
HPQ,HP INC,0.04,HPQ
AWK,AMERICAN WATER WORKS INC,0.04,AWK
VLTO,VERALTO CORP,0.04,VLTO
CNP,CENTERPOINT ENERGY INC,0.04,CNP
NTRS,NORTHERN TRUST CORP,0.04,NTRS
IRM,IRON MOUNTAIN INC,0.04,IRM
NTAP,NETAPP INC,0.04,NTAP
EIX,EDISON INTERNATIONAL,0.04,EIX
DVN,DEVON ENERGY CORP,0.04,DVN
DG,DOLLAR GENERAL CORP,0.04,DG
ES,EVERSOURCE ENERGY,0.04,ES
HAL,HALLIBURTON,0.04,HAL
ON,ON SEMICONDUCTOR CORP,0.04,ON
RF,REGIONS FINANCIAL CORP,0.04,RF
CMS,CMS ENERGY CORP,0.04,CMS
PPG,PPG INDUSTRIES INC,0.04,PPG
TDY,TELEDYNE TECHNOLOGIES INC,0.04,TDY
TROW,T ROWE PRICE GROUP INC,0.04,TROW
FE,FIRSTENERGY CORP,0.04,FE
WAT,WATERS CORP,0.04,WAT
LH,LABCORP HOLDINGS INC,0.04,LH
LVS,LAS VEGAS SANDS CORP,0.04,LVS
BRO,BROWN & BROWN INC,0.04,BRO
K,KELLANOVA,0.04,K
JBL,JABIL INC,0.04,JBL
TPR,TAPESTRY INC,0.04,TPR
STLD,STEEL DYNAMICS INC,0.04,STLD
CFG,CITIZENS FINANCIAL GROUP INC,0.04,CFG
DLTR,DOLLAR TREE INC,0.04,DLTR
KHC,KRAFT HEINZ,0.04,KHC
WRB,WR BERKLEY CORP,0.04,WRB
NVR,NVR INC,0.04,NVR
OMC,OMNICOM GROUP INC,0.04,OMC
HUBB,HUBBELL INC,0.04,HUBB
LYV,LIVE NATION ENTERTAINMENT INC,0.04,LYV
PODD,INSULET CORP,0.04,PODD
EQR,EQUITY RESIDENTIAL REIT,0.04,EQR
PTC,PTC INC,0.04,PTC
VRSN,VERISIGN INC,0.04,VRSN
LULU,LULULEMON ATHLETICA INC,0.04,LULU
TYL,TYLER TECHNOLOGIES INC,0.03,TYL
WSM,WILLIAMS SONOMA INC,0.03,WSM
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,0.03,EXPD
IP,INTERNATIONAL PAPER,0.03,IP
CPAY,CORPAY INC,0.03,CPAY
TRMB,TRIMBLE INC,0.03,TRMB
LUV,SOUTHWEST AIRLINES,0.03,LUV
CHD,CHURCH AND DWIGHT INC,0.03,CHD
DRI,DARDEN RESTAURANTS INC,0.03,DRI
DGX,QUEST DIAGNOSTICS INC,0.03,DGX
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,0.03,SBAC
GPC,GENUINE PARTS,0.03,GPC
SNA,SNAP ON INC,0.03,SNA
NI,NISOURCE INC,0.03,NI
CTRA,COTERRA ENERGY INC,0.03,CTRA
PNR,PENTAIR,0.03,PNR
CDW,CDW CORP,0.03,CDW
PKG,PACKAGING CORP OF AMERICA,0.03,PKG
L,LOEWS CORP,0.03,L
AMCR,AMCOR PLC,0.03,AMCR
GPN,GLOBAL PAYMENTS INC,0.03,GPN
CHTR,CHARTER COMMUNICATIONS INC CLASS A,0.03,CHTR
ZBH,ZIMMER BIOMET HOLDINGS INC,0.03,ZBH
LNT,ALLIANT ENERGY CORP,0.03,LNT
TTD,TRADE DESK INC CLASS A,0.03,TTD
WST,WEST PHARMACEUTICAL SERVICES INC,0.03,WST
STZ,CONSTELLATION BRANDS INC CLASS A,0.03,STZ
ROL,ROLLINS INC,0.03,ROL
KEY,KEYCORP,0.03,KEY
SW,SMURFIT WESTROCK PLC,0.03,SW
MKC,MCCORMICK & CO NON-VOTING INC,0.03,MKC
FTV,FORTIVE CORP,0.03,FTV
GDDY,GODADDY INC CLASS A,0.03,GDDY
PFG,PRINCIPAL FINANCIAL GROUP INC,0.03,PFG
CHRW,CH ROBINSON WORLDWIDE INC,0.03,CHRW
TSN,TYSON FOODS INC CLASS A,0.03,TSN
IT,GARTNER INC,0.03,IT
APTV,APTIV PLC,0.03,APTV
